#  1/(2*w^2)       H            
   7.8543707e-03   7.9087069e-02
   5.9445393e-03   5.9379841e-02
   5.0860155e-03   5.1625764e-02
   4.6326963e-03   4.3776923e-02
   6.3467895e-03   6.5977567e-02
   1.1894535e-02   1.1051972e-01
   7.1013667e-03   6.4880393e-02
   7.0332485e-03   6.5977567e-02
   8.5202002e-03   8.0175743e-02
   1.2994016e-02   1.3748368e-01
   9.8413551e-03   9.4291873e-02
   8.2727130e-03   7.5818025e-02
   5.8236834e-03   5.3848949e-02
   4.2532132e-03   3.6922382e-02
   4.2473436e-03   3.8076252e-02
   7.6070045e-03   8.0401623e-02
   5.8943198e-03   5.9387230e-02
   4.2546812e-03   4.2522889e-02
   5.4619070e-03   5.6042650e-02
